precio,baños,habitabiones,metros_construidos,estrato
1250000000,4.0,5.0,550.0,3.0
500000000,2.0,3.0,265.0,
1250000000,4.0,3.0,217.0,6.0
597000000,2.0,3.0,147.0,5.0
370000000,2.0,3.0,,4.0
2000000000,3.0,2.0,911.0,5.0
250000000,2.0,4.0,120.0,3.0
400000000,3.0,3.0,160.0,
3600000000,3.0,3.0,400.0,5.0
2000000000,4.0,4.0,112.0,5.0
350000000,3.0,3.0,130.0,4.0
380000000,2.0,3.0,280.0,
350000000,3.0,3.0,133.0,3.0
350000000,2.0,5.0,140.0,3.0
280000000,2.0,4.0,80.0,3.0
670000000,4.0,6.0,200.0,
1000000000,4.0,5.0,150.0,4.0
245000000,2.0,6.0,,2.0
320000000,2.0,3.0,,3.0
2400000000,3.0,5.0,400.0,5.0
14000000000,4.0,8.0,595.0,5.0
1800000000,3.0,2.0,180.0,5.0
700000000,4.0,4.0,300.0,5.0
4300000000,,,300.0,
350000000,2.0,4.0,115.0,3.0
30000000000,,,2000.0,5.0
220000000,2.0,4.0,79.0,
415000000,3.0,4.0,154.0,3.0
550000000,4.0,4.0,186.0,4.0
380000000,3.0,3.0,132.0,4.0
397000000,3.0,5.0,300.0,3.0
6600000000,6.0,4.0,450.0,6.0
300000000,2.0,5.0,150.0,3.0
3500000000,6.0,8.0,500.0,
3000000000,2.0,3.0,824.0,4.0
570000000,4.0,3.0,140.0,5.0
265000,3.0,4.0,111.0,3.0
2200000000,2.0,3.0,,5.0
780000000,5.0,5.0,225.0,4.0
3700000000,5.0,7.0,853.0,5.0
2500000000,7.0,6.0,1100.0,5.0
480000000,3.0,3.0,125.0,
7000000000,7.0,9.0,900.0,5.0
6000000000,8.0,5.0,1075.0,2.0
480000000,2.0,4.0,131.0,3.0
1000000000,2.0,3.0,384.0,
700000000,5.0,5.0,500.0,4.0
230000000,2.0,3.0,,3.0
2400000000,6.0,4.0,400.0,5.0
450000000,2.0,5.0,200.0,3.0
750000000,3.0,5.0,200.0,
400000000,4.0,7.0,250.0,3.0
3924000000,3.0,3.0,251.0,
500000000,5.0,8.0,256.0,3.0
850000000,3.0,4.0,300.0,3.0
760000000,5.0,10.0,300.0,3.0
2300000000,5.0,5.0,258.0,5.0
360000000,3.0,3.0,175.0,3.0
1250000000,2.0,2.0,360.0,2.0
280000000,2.0,3.0,72.0,4.0
6000000000,,4.0,270.0,5.0
240000000,,3.0,180.0,3.0
1800000000,3.0,6.0,300.0,5.0
500000000,3.0,6.0,162.0,4.0
7200000000,6.0,5.0,290.0,4.0
2200000000,3.0,4.0,480.0,
1000000000,2.0,2.0,250.0,3.0
360000000,2.0,4.0,98.0,4.0
7500000000,2.0,4.0,1000.0,
1600000000,5.0,4.0,390.0,5.0
255000000,2.0,4.0,210.0,3.0
